#checklist_accession	ERC000037
#sample_alias	tax_id	scientific_name	common_name	sample_title	sample_description	collection date	geographic location (country and/or sea)	geographic location (region and locality)	cultivar	genotype	organism part	isolation_source	infect	collected_by
MtrDNF2_A256_2	3880	Medicago truncatula	barrel medic	Medicago truncatula A17 root nodule, wild type, inoculated with Sinorhizobium meliloti 2011 Δrsp256 deletion mutant, replicate 2	Medicago truncatula (ecotype A17) root nodule RNA-seq. Host genotype: wild type. Plants germinated on nitrogen-free Fåhraeus medium and grown in controlled-environment chambers (16 h light/8 h dark, 22 C, 55% RH, 200 umol m-2 s-1); seedlings transferred to sterile 1:1 perlite:vermiculite pots and inoculated with Sinorhizobium meliloti 2011 Δrsp256 deletion mutant. Root nodules harvested at 3 weeks post-inoculation. mRNA library (oligo-dT), 150 bp paired-end, DNBSEQ-T7. Library name: A256_2. Biological replicate 2.	not collected	United Kingdom	not collected	A17	wild type	root nodule	root nodule	Sinorhizobium meliloti	Chongjing Xia
MtrDNF2_A256_3	3880	Medicago truncatula	barrel medic	Medicago truncatula A17 root nodule, wild type, inoculated with Sinorhizobium meliloti 2011 Δrsp256 deletion mutant, replicate 3	Medicago truncatula (ecotype A17) root nodule RNA-seq. Host genotype: wild type. Plants germinated on nitrogen-free Fåhraeus medium and grown in controlled-environment chambers (16 h light/8 h dark, 22 C, 55% RH, 200 umol m-2 s-1); seedlings transferred to sterile 1:1 perlite:vermiculite pots and inoculated with Sinorhizobium meliloti 2011 Δrsp256 deletion mutant. Root nodules harvested at 3 weeks post-inoculation. mRNA library (oligo-dT), 150 bp paired-end, DNBSEQ-T7. Library name: A256_3. Biological replicate 3.	not collected	United Kingdom	not collected	A17	wild type	root nodule	root nodule	Sinorhizobium meliloti	Chongjing Xia
MtrDNF2_A485_1	3880	Medicago truncatula	barrel medic	Medicago truncatula A17 root nodule, wild type, inoculated with Sinorhizobium meliloti 2011 Δrsp485 deletion mutant, replicate 1	Medicago truncatula (ecotype A17) root nodule RNA-seq. Host genotype: wild type. Plants germinated on nitrogen-free Fåhraeus medium and grown in controlled-environment chambers (16 h light/8 h dark, 22 C, 55% RH, 200 umol m-2 s-1); seedlings transferred to sterile 1:1 perlite:vermiculite pots and inoculated with Sinorhizobium meliloti 2011 Δrsp485 deletion mutant. Root nodules harvested at 3 weeks post-inoculation. mRNA library (oligo-dT), 150 bp paired-end, DNBSEQ-T7. Library name: A485_1. Biological replicate 1.	not collected	United Kingdom	not collected	A17	wild type	root nodule	root nodule	Sinorhizobium meliloti	Chongjing Xia
MtrDNF2_A485_2	3880	Medicago truncatula	barrel medic	Medicago truncatula A17 root nodule, wild type, inoculated with Sinorhizobium meliloti 2011 Δrsp485 deletion mutant, replicate 2	Medicago truncatula (ecotype A17) root nodule RNA-seq. Host genotype: wild type. Plants germinated on nitrogen-free Fåhraeus medium and grown in controlled-environment chambers (16 h light/8 h dark, 22 C, 55% RH, 200 umol m-2 s-1); seedlings transferred to sterile 1:1 perlite:vermiculite pots and inoculated with Sinorhizobium meliloti 2011 Δrsp485 deletion mutant. Root nodules harvested at 3 weeks post-inoculation. mRNA library (oligo-dT), 150 bp paired-end, DNBSEQ-T7. Library name: A485_2. Biological replicate 2.	not collected	United Kingdom	not collected	A17	wild type	root nodule	root nodule	Sinorhizobium meliloti	Chongjing Xia
MtrDNF2_A485_3	3880	Medicago truncatula	barrel medic	Medicago truncatula A17 root nodule, wild type, inoculated with Sinorhizobium meliloti 2011 Δrsp485 deletion mutant, replicate 3	Medicago truncatula (ecotype A17) root nodule RNA-seq. Host genotype: wild type. Plants germinated on nitrogen-free Fåhraeus medium and grown in controlled-environment chambers (16 h light/8 h dark, 22 C, 55% RH, 200 umol m-2 s-1); seedlings transferred to sterile 1:1 perlite:vermiculite pots and inoculated with Sinorhizobium meliloti 2011 Δrsp485 deletion mutant. Root nodules harvested at 3 weeks post-inoculation. mRNA library (oligo-dT), 150 bp paired-end, DNBSEQ-T7. Library name: A485_3. Biological replicate 3.	not collected	United Kingdom	not collected	A17	wild type	root nodule	root nodule	Sinorhizobium meliloti	Chongjing Xia
MtrDNF2_A86256_1	3880	Medicago truncatula	barrel medic	Medicago truncatula A17 root nodule, wild type, inoculated with Sinorhizobium meliloti 2011 Δrsp86 Δrsp256 double deletion mutant, replicate 1	Medicago truncatula (ecotype A17) root nodule RNA-seq. Host genotype: wild type. Plants germinated on nitrogen-free Fåhraeus medium and grown in controlled-environment chambers (16 h light/8 h dark, 22 C, 55% RH, 200 umol m-2 s-1); seedlings transferred to sterile 1:1 perlite:vermiculite pots and inoculated with Sinorhizobium meliloti 2011 Δrsp86 Δrsp256 double deletion mutant. Root nodules harvested at 3 weeks post-inoculation. mRNA library (oligo-dT), 150 bp paired-end, DNBSEQ-T7. Library name: A86256_1. Biological replicate 1.	not collected	United Kingdom	not collected	A17	wild type	root nodule	root nodule	Sinorhizobium meliloti	Chongjing Xia
MtrDNF2_A86256_2	3880	Medicago truncatula	barrel medic	Medicago truncatula A17 root nodule, wild type, inoculated with Sinorhizobium meliloti 2011 Δrsp86 Δrsp256 double deletion mutant, replicate 2	Medicago truncatula (ecotype A17) root nodule RNA-seq. Host genotype: wild type. Plants germinated on nitrogen-free Fåhraeus medium and grown in controlled-environment chambers (16 h light/8 h dark, 22 C, 55% RH, 200 umol m-2 s-1); seedlings transferred to sterile 1:1 perlite:vermiculite pots and inoculated with Sinorhizobium meliloti 2011 Δrsp86 Δrsp256 double deletion mutant. Root nodules harvested at 3 weeks post-inoculation. mRNA library (oligo-dT), 150 bp paired-end, DNBSEQ-T7. Library name: A86256_2. Biological replicate 2.	not collected	United Kingdom	not collected	A17	wild type	root nodule	root nodule	Sinorhizobium meliloti	Chongjing Xia
MtrDNF2_A86256_3	3880	Medicago truncatula	barrel medic	Medicago truncatula A17 root nodule, wild type, inoculated with Sinorhizobium meliloti 2011 Δrsp86 Δrsp256 double deletion mutant, replicate 3	Medicago truncatula (ecotype A17) root nodule RNA-seq. Host genotype: wild type. Plants germinated on nitrogen-free Fåhraeus medium and grown in controlled-environment chambers (16 h light/8 h dark, 22 C, 55% RH, 200 umol m-2 s-1); seedlings transferred to sterile 1:1 perlite:vermiculite pots and inoculated with Sinorhizobium meliloti 2011 Δrsp86 Δrsp256 double deletion mutant. Root nodules harvested at 3 weeks post-inoculation. mRNA library (oligo-dT), 150 bp paired-end, DNBSEQ-T7. Library name: A86256_3. Biological replicate 3.	not collected	United Kingdom	not collected	A17	wild type	root nodule	root nodule	Sinorhizobium meliloti	Chongjing Xia
MtrDNF2_A86485_1	3880	Medicago truncatula	barrel medic	Medicago truncatula A17 root nodule, wild type, inoculated with Sinorhizobium meliloti 2011 Δrsp86 Δrsp485 double deletion mutant, replicate 1	Medicago truncatula (ecotype A17) root nodule RNA-seq. Host genotype: wild type. Plants germinated on nitrogen-free Fåhraeus medium and grown in controlled-environment chambers (16 h light/8 h dark, 22 C, 55% RH, 200 umol m-2 s-1); seedlings transferred to sterile 1:1 perlite:vermiculite pots and inoculated with Sinorhizobium meliloti 2011 Δrsp86 Δrsp485 double deletion mutant. Root nodules harvested at 3 weeks post-inoculation. mRNA library (oligo-dT), 150 bp paired-end, DNBSEQ-T7. Library name: A86485_1. Biological replicate 1.	not collected	United Kingdom	not collected	A17	wild type	root nodule	root nodule	Sinorhizobium meliloti	Chongjing Xia
MtrDNF2_A86485_2	3880	Medicago truncatula	barrel medic	Medicago truncatula A17 root nodule, wild type, inoculated with Sinorhizobium meliloti 2011 Δrsp86 Δrsp485 double deletion mutant, replicate 2	Medicago truncatula (ecotype A17) root nodule RNA-seq. Host genotype: wild type. Plants germinated on nitrogen-free Fåhraeus medium and grown in controlled-environment chambers (16 h light/8 h dark, 22 C, 55% RH, 200 umol m-2 s-1); seedlings transferred to sterile 1:1 perlite:vermiculite pots and inoculated with Sinorhizobium meliloti 2011 Δrsp86 Δrsp485 double deletion mutant. Root nodules harvested at 3 weeks post-inoculation. mRNA library (oligo-dT), 150 bp paired-end, DNBSEQ-T7. Library name: A86485_2. Biological replicate 2.	not collected	United Kingdom	not collected	A17	wild type	root nodule	root nodule	Sinorhizobium meliloti	Chongjing Xia
MtrDNF2_A86485_3	3880	Medicago truncatula	barrel medic	Medicago truncatula A17 root nodule, wild type, inoculated with Sinorhizobium meliloti 2011 Δrsp86 Δrsp485 double deletion mutant, replicate 3	Medicago truncatula (ecotype A17) root nodule RNA-seq. Host genotype: wild type. Plants germinated on nitrogen-free Fåhraeus medium and grown in controlled-environment chambers (16 h light/8 h dark, 22 C, 55% RH, 200 umol m-2 s-1); seedlings transferred to sterile 1:1 perlite:vermiculite pots and inoculated with Sinorhizobium meliloti 2011 Δrsp86 Δrsp485 double deletion mutant. Root nodules harvested at 3 weeks post-inoculation. mRNA library (oligo-dT), 150 bp paired-end, DNBSEQ-T7. Library name: A86485_3. Biological replicate 3.	not collected	United Kingdom	not collected	A17	wild type	root nodule	root nodule	Sinorhizobium meliloti	Chongjing Xia
